vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;383;2097501;16;73.9;160.24;308.5;904.15
0;384;473383;0;2.77;15.77;55.38;267.76
0;385;371600;0;6.71;29.9;87.67;391.76
0;400;327588;40.63;386.99;1167.12;2630.33;5042.03
0;401;169499;97.09;216.37;333.57;524.16;1216.44
0;402;152577;29.39;86.76;167.34;1142.48;3711.17
0;403;1036772;56.02;85.98;118.38;172.39;364.06
0;404;630803;33.74;58.28;79.45;109.89;198.81
0;405;480264;0;84.54;143.75;304.04;1965.69
0;420;1288030;0;12.87;36.52;93.11;531.11
0;421;539858;0;1.16;15.59;66.87;533.55
0;422;1305389;1.71;10.98;40.21;146.51;748.76
0;423;133786;0;1.81;20.37;94.89;2855.11
0;424;467313;0;1.62;30.41;116.69;634.14
0;440;1298597;770.53;1586.82;3107.11;4914.35;9064.14
0;441;1087188;57.17;318.94;719.66;1272.99;3191.67
0;442;789956;114.87;201.68;303.76;537.25;1660.36
0;443;1120055;41.6;97.77;168.25;337.02;1303.85
0;444;15549;0.47;17.79;53.34;104.8;335.28
0;445;380222;8.49;41.48;85;186.43;731.64
0;446;1977765;21.97;50.93;85.3;149.8;390.94
0;447;521750;4.19;41.91;98.49;213.36;1454.2
0;460;1301667;0.79;35.79;119.53;377.91;1646.51
0;461;561652;1.64;45.76;134.64;423.15;1436.99
0;462;155341;0;6.84;43.78;189.97;856.79
0;463;3162192;9.29;66.85;148.69;301.59;801.78
0;464;188753;3.92;21.99;49.07;88.26;203.96
0;465;767256;5.21;17.33;38.77;81.11;221.26
0;466;310165;0;7.06;51.04;197.19;1073.43
0;467;271171;0;4.11;24.88;90.41;415.78
0;468;581187;0;10.49;42.52;107.58;510.3
0;480;1620293;125.73;193.8;259.73;365.98;769
0;481;172835;20.02;43.41;71.2;131.54;340.78
0;482;2153443;64.29;112.09;165.98;259.06;611.8
0;483;317867;11.56;27.23;42.21;61.4;137.97
0;484;430695;7.32;25.73;49.23;186.63;553.75
0;500;524467;0.99;31.4;101.71;371.3;1113.87
0;501;469961;0;16.82;87.68;240.14;581.13
0;510;796851;76.62;127.27;189.6;342.59;1379.42
0;511;430530;60.9;144.41;265.52;736.47;3122.31
0;512;224727;56.02;105.89;144.72;207.73;588.6
0;513;3128662;35.35;69.2;100.02;137.48;248.61
0;514;520196;17.16;39.44;68.95;113.05;240.84
0;515;192241;10.59;30.19;46.1;76.04;207.69
0;516;322653;23.97;39.84;53.64;73.1;193.53
0;517;229099;10.25;23.4;35.97;53.79;114.97
0;518;596084;5.45;42.18;91.67;238.87;2020.21
0;530;1196327;2.21;61.19;238.4;1031.09;3002.3
