vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;483;4;5;3402;465.6;575.78;756.4;799.99;804.56
0;484;1;579;183607;225.67;276.96;312.15;348.8;426.69
0;484;2;919;282684;213.67;244.26;287.78;342.46;451.46
0;484;3;232;91870;217.66;257.27;325.25;415.23;996.28
0;484;4;16;16813;239.07;543.96;746.38;1627.67;2231.82
0;500;1;304;74879;197.51;223.8;238.52;256.2;348.06
0;500;2;518;191237;204.11;250.15;307.62;397.74;750.48
0;500;3;343;171369;219.46;327.45;428.49;601.2;1039.92
0;500;4;33;24475;302.35;457.58;651.6;846.94;1562.06
0;501;1;2561;672768;195.92;224.55;249.9;281.27;372.79
0;501;2;1752;551822;206.09;246.86;285.1;348.23;502.77
0;501;3;493;230391;235.15;314.07;400.61;534.19;910.92
0;501;4;55;41256;273.05;517.5;686.72;996;1436.6
0;510;1;449;149798;233.32;275.78;308.91;360.84;489.48
0;510;2;441;177102;251.5;317.24;371.63;455.76;635.32
0;510;3;120;72475;344.99;431.06;553.78;674.79;1150.07
0;510;4;18;24946;272.64;724.23;1105.87;1950.02;3468.83
0;511;1;229;71698;213.85;243.22;286.94;350.88;505.5
0;511;2;285;106733;214.61;273.15;350.79;439.48;615.47
0;511;3;127;70240;271.03;399.17;490.42;651.85;1015.31
0;511;4;20;23333;346.52;563.57;927.35;1459.71;3517.44
0;512;1;581;170964;221.05;256;280.95;316.54;405.76
0;512;2;350;118963;230.89;271.9;310.58;375.03;554.56
0;512;3;60;37878;316.38;415.47;540.18;719.45;1392.83
0;512;4;9;7795;390.77;531.27;751.01;1242.8;1597.75
0;513;1;11515;2932291;196.08;224.55;248.69;275.42;332.12
0;513;2;2282;639193;200.34;234.87;264.3;303.7;407.09
0;513;3;147;62436;220.08;277.76;328.73;450.85;1069.48
0;513;4;26;28546;393.99;504.17;795.18;1137.99;2804.4
0;514;1;3054;775742;201.23;224.66;245.15;273.8;335.7
0;514;2;1145;322977;218.06;246.58;272.4;304.52;372.23
0;514;3;28;12438;228.15;277.48;334.72;479.04;898.78
0;514;4;5;3900;420.12;507.46;778.27;812.54;1381.85
0;517;1;517;119728;173.21;207.35;223.89;246.23;308.3
0;517;2;180;52723;187.58;221.27;248.84;301.02;492.74
0;517;3;39;17472;165.77;255.04;291.42;470.74;1282.25
0;517;4;2;999;0;0;499.69;999.38;999.38
0;518;1;1357;347372;188.14;217.44;242.66;276.24;363.07
0;518;2;495;161363;203.31;241.75;287.4;355.48;575.56
0;518;3;114;59539;234.87;339.17;459.78;596.05;968.06
0;518;4;19;22760;276.31;563.26;1140.87;1645.89;3588.53
0;519;1;4414;1178420;207.48;240.19;261.9;286.26;345.35
0;519;2;553;162173;216.83;252.19;280.32;320.17;419.54
0;519;3;22;7740;218.68;294.72;324.54;427.83;501.9
0;519;4;5;4896;429.05;496.76;842.32;1305.25;1822.54
0;530;1;141;41457;184.98;222.94;253.5;299.07;592.92
0;530;2;527;166891;161.9;227.06;264.33;356.21;664.8
0;530;3;417;192859;213.98;289.16;370.66;558.98;1035.14
0;530;4;68;49827;253.2;428.52;632.13;928.47;1446.98
0;531;1;598;158776;198.77;227.5;253.02;290.93;363.72
0;531;2;189;63948;198.04;252.34;295.99;381;649.09
0;531;3;43;22267;282.56;390.13;467.41;589.79;890.34
0;531;4;6;2818;224.4;387.88;452.04;514.38;787.03
0;532;1;1391;327089;186.99;211.93;229.12;251.28;298.56
0;532;2;510;139103;191.91;218.89;249;280.7;468.51
0;532;3;56;24441;182.92;261.14;397.77;500.31;917.93
0;532;4;4;2958;600.98;613.76;721.55;865.35;914.13
0;540;1;14887;4411519;231.24;268;289.3;315.91;379.96
0;540;2;7418;2406618;230.69;274;303.18;344.03;464.29
0;540;3;1983;831257;234.74;297.85;353.69;443.76;823.41
0;540;4;77;48922;290.26;375.17;459.75;684.41;1636.68
0;541;1;856;228918;208.59;244.14;264.58;287.82;336.58
0;541;2;1400;391910;206.68;246.94;272.69;304.88;369.69
0;541;3;296;103674;216.83;270.5;316.21;386.06;637.43
0;541;4;7;3184;213.73;261.15;396.88;707.12;788.67
0;542;1;452;122664;225.79;246.88;266.35;287.71;333.01
0;542;2;862;247274;226.14;255.9;272.95;305.77;381.19
0;542;3;132;48603;231.75;275.17;311.95;376.75;821.73
0;542;4;5;2121;219.91;374.7;395.88;564.41;566.02
