vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;565;3;2370;359.86;359.86;445.85;1564.08;1564.08
0;566;1;6055393;333.46;409.35;771.98;1300.32;2802.88
0;566;2;7890886;350.36;664.16;1123.62;1817.13;4359.48
0;566;3;3219302;359.5;853;1723.24;3213.65;10282.28
0;566;4;208541;1058.37;2409.12;4433.8;7592.76;14248.08
0;580;1;103586;309.51;667.54;1390.44;1794.84;3197.12
0;580;2;77011;0;668.2;1196.56;1732.08;3180.44
0;580;3;28773;356.57;832.72;1693.36;1775.56;3180.44
0;580;4;6068;421.39;887.78;1281.18;1702.36;1775.56
0;581;1;24476;648.98;1331.67;1337.07;2332.92;2908.7
0;581;2;7698;1154.72;1452.2;2061.76;2396.6;2419.36
0;581;3;7125;593.67;792.22;1019.75;1325.28;2373.84
0;581;4;2598;2598.36;2598.36;2598.36;2598.36;2598.36
0;583;2;39798;14782.79;14782.79;19898.8;25014.82;25014.82
0;583;4;163674;10926.41;17452.2;23434.76;40355.28;48070.26
0;590;3;51997;51997.14;51997.14;51997.14;51997.14;51997.14
0;590;4;885482;6980.88;37992.15;62136.14;75108.04;108009.72
0;591;1;296526;3999.78;4703.79;32442.66;63996.48;116276.61
0;591;2;41459;598.28;966.08;1733.65;2275.08;30911.19
0;591;3;260344;443.89;1163.48;30087.67;35620.2;58064.64
0;591;4;2098356;888.84;10298.86;35577.03;61653.1;90642.54
0;592;4;1277595;7717.71;33054.06;46370.78;74208.75;89817.42
0;593;1;123382;0;1777.68;11800.36;32442.66;47108.52
0;593;2;434630;795.11;10902.78;20887.74;27378.58;39486.48
0;593;3;1057818;430.81;19151.55;26112.24;33755.94;58463.1
0;593;4;3295901;1553.32;22578.27;34700.24;46306.26;71387.8
0;600;2;2967;2967.3;2967.3;2967.3;2967.3;2967.3
0;600;3;265271;23970.06;54219.24;62360.64;62360.64;62360.64
0;600;4;1026476;8144.36;28654.52;37097.86;50620.44;70764.79
0;601;1;29343;0;2574.71;5839.9;12096.79;17663.21
0;601;2;300408;0;8998.22;13614.49;18553.92;26741.4
0;601;3;1042830;0;12168.13;16733.47;25002.1;46219.68
0;601;4;1636459;1292.43;15484.82;24313.75;34320.19;52477.26
0;602;1;285457;5941.65;9407.58;13961.76;25004.4;30935.21
0;602;2;1194404;0;9889.58;18838.11;25709.2;39755.5
0;602;3;2340113;3244.9;14044.47;21279.5;27998.46;46911.49
0;602;4;1367143;1196.56;14580.75;23922.92;31413.96;49368.84
0;603;1;1275366;0;0;7884.8;14605.38;32442.66
0;603;2;1359405;0;0;10902.78;15590.16;24529.48
0;603;3;950691;0;9314.42;15666.04;22834.07;32666.25
0;603;4;451145;1191.54;14841.75;24934.14;34395.94;50853.8
0;610;2;62799;3024.2;5857.5;11221.61;25541.85;37331.28
