vrai_hop;rdrg;SI;N;moy_gemid
0;242;3;217;2.65
0;242;4;54;4.69
0;243;1;4659;0.41
0;243;2;3707;1.38
0;243;3;974;1.66
0;243;4;198;4.8
0;244;1;2846;0.21
0;244;2;2238;0.7
0;244;3;636;5.57
0;244;4;192;2.84
0;245;1;1186;0.28
0;245;2;919;1.19
0;245;3;289;5.52
0;245;4;187;25.52
0;246;1;232;1.19
0;246;2;351;14.46
0;246;3;181;23.5
0;246;4;92;11.57
0;247;1;2396;0.54
0;247;2;2346;1.44
0;247;3;887;1.13
0;247;4;314;5.79
0;248;1;149;0
0;248;2;143;2.31
0;248;3;101;4.39
0;248;4;50;2.6
0;249;1;17822;0.18
0;249;2;6706;0.36
0;249;3;1482;0.82
0;249;4;431;2.51
0;250;1;15062;0.35
0;250;2;8114;1.25
0;250;3;2305;3.82
0;250;4;909;12.94
0;260;1;277;86.77
0;260;2;489;87.21
0;260;3;327;149.81
0;260;4;310;218.11
0;261;1;176;108.38
0;261;2;338;128.85
0;261;3;168;159.77
0;261;4;130;104.8
0;262;1;714;122.68
0;262;2;521;63.51
0;262;3;216;87.99
0;262;4;115;102.93
0;263;1;9388;246.01
0;263;2;4098;216.58
0;263;3;691;186.72
0;263;4;122;216.21
0;264;1;366;67.82
0;264;2;329;97.97
0;264;3;264;62.41
0;264;4;165;86.67
0;280;1;560;2.2
0;280;2;1666;2.97
0;280;3;1427;4.2
0;280;4;454;21.1
0;281;1;755;20.5
0;281;2;1999;23.03
0;281;3;1143;38.09
0;281;4;177;48.56
0;282;1;1836;16.78
0;282;2;1941;26.62
0;282;3;590;26.31
0;282;4;370;40.9
0;283;1;1613;1.66
0;283;2;1462;6.45
0;283;3;731;11.16
0;283;4;213;33.78
0;284;1;2388;41.23
0;284;2;2787;52.44
0;284;3;1032;65.11
0;284;4;300;85.1
0;300;1;52;1693.43
0;300;2;59;1555.4
0;300;3;116;1653.36
0;300;4;11;1674.23
0;301;1;993;1229.17
0;301;2;2071;1246.51
0;301;3;1740;1244.71
0;301;4;272;1386.9
0;302;1;14180;1718
0;302;2;6466;1665.6
0;302;3;1554;1542.51
0;302;4;202;1792.51
0;303;1;110;4347.97
0;303;2;57;4725.25
0;303;3;18;4494.17
0;303;4;6;5407.83
0;304;1;3062;2224.38
0;304;2;648;2265.04
0;304;3;260;3095.81
0;304;4;22;3871.45
0;305;1;39;38.79
0;305;2;49;45.46
0;305;3;32;53.24
0;305;4;18;291.07
0;306;1;565;475.6
0;306;2;153;476.72
0;306;3;41;544.69
0;306;4;14;527.99
0;307;1;206;189.95
0;307;2;51;140.66
0;307;3;15;96.3
0;307;4;7;419.55
0;308;1;3399;327.88
0;308;2;3241;353.72
0;308;3;1696;400.89
0;308;4;423;474.64
0;309;1;918;151.64
0;309;2;469;275.22
0;309;3;229;397.31
0;309;4;48;348.55
0;310;1;12523;133.54
