vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;348;2;9.5;1;4;7;12;26
0;348;3;18.4;2;7;14;23;52
0;348;4;39.1;2;15;29;50;113
0;349;1;4.4;1;2;3;5;13
0;349;2;8;1;2;5;10;25
0;349;3;20;3;9;15;26;52
0;349;4;27.8;3;13;19;32.5;74.5
0;350;1;4.2;1;1;3;5;12
0;350;2;9;1;3;6;11;26
0;350;3;19.3;2;8;15;24;50
0;350;4;36.9;3;17;33;44;98
0;351;1;4.1;1;2;3;5;12
0;351;2;8.6;1;3;6;11;26
0;351;3;18.1;2;8;13;22;50.5
0;351;4;31.8;2;12.5;24.5;37.5;97
0;360;1;7.4;1;3;5;9;25
0;360;2;19.2;2;7;14;25;53
0;360;3;37.8;6;16;30;48;106
0;360;4;55;8;30;49;72;117
0;361;1;3.8;1;2;2;5;10
