vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;283;4;61;4;53;65;78;89
0;284;1;57;24;42;59;73;86
0;284;2;68;32;58;72;82;91
0;284;3;74;42;66;78;86;93
0;284;4;76;47;71;80;87;94
0;301;1;69;47;61;70;79;89
0;301;2;72;50;64;73;81;89
0;301;3;77;54;70;79;86;92
0;301;4;82;64;77;84;89;94
0;302;1;67;51;60;68;75;83
0;302;2;69;52;63;70;77;85
0;302;3;74;54;68;76;82;89
0;302;4;76;55;72;78;83;88
0;303;1;31;13;15;18;52;71
0;303;2;42;14;17;42;67;77
0;303;3;38;12;14;19;68;76
0;303;4;43;11;15;51;70;76
0;304;1;55;34;46;54;64;76
0;304;2;61;37;52;61;71;80
0;304;3;60;25;51;63;73;84
0;304;4;68;35;61;72;76;85
0;305;1;63;34;53;64;73;91
0;305;2;68;45;60;69;80;88
0;305;3;71;49;64;72;81;90
0;305;4;70;50;64;72;79;87
0;308;1;72;23;64;79;87;94
0;308;2;80;55;75;84;89;95
0;308;3;83;64;79;86;90;96
0;308;4;82;60;77;85;90;96
0;309;1;43;12;26;42;59;80
0;309;2;58;12;40;63;79;90
0;309;3;68;12;60;74;84;93
0;309;4;70;11;65;78;84;92
0;310;1;54;30;43;54;66;80
0;310;2;64;38;55;66;75;83
0;310;3;68;20;62;72;81;88
0;310;4;72;54;69;73;81;88
0;312;1;46;3;26;48;65;83
0;312;2;61;16;42;65;81;90
0;312;3;70;47;59;70;82;92
0;312;4;65;31;52;65;79;93
0;313;1;45;16;28;45;59;76
0;313;2;55;17;41;57;69;84
0;313;3;66;23;56;71;81;92
0;313;4;70;35;61;73;83;93
0;314;1;54;20;45;56;66;78
0;314;2;54;23;44;56;66;78
0;314;3;63;26;54;66;76;87
0;314;4;72;51;63;72;81;90
0;315;1;53;11;45;56;66;80
0;315;2;64;14;57;69;78;88
0;315;3;74;44;67;79;86;92
0;315;4;77;55;71;80;87;94
0;316;1;52;16;40;56;65;78
0;316;2;57;17;47;60;71;84
0;316;3;53;13;34;59;76;85
0;316;4;62;17;46;64;78;92
0;317;1;45;17;29;45;58;73
0;317;2;53;18;38;55;69;84
0;317;3;63;19;52;68;80;91
0;317;4;67;30;58;70;81;92
0;320;1;49;18;33;50;64;79
0;320;2;61;25;51;63;73;84
0;320;3;66;26;56;71;80;88
0;320;4;66;32;61;66;76;89
0;321;1;53;35;45;52;60;74
0;321;2;58;33;49;57;68;82
0;321;3;63;26;52;67;76;85
0;321;4;67;30;56;72;80;93
0;322;1;64;41;56;65;73;83
0;322;2;68;49;61;69;78;87
0;322;3;73;51;63;75;84;90
0;322;4;80;62;75;80;86;96
0;340;1;68;2;63;78;87;93
0;340;2;71;2;70;83;88;95
0;340;3;85;69;82;87;91;96
0;340;4;82;60;79;86;91;96
0;341;1;69;19;60;76;84;93
0;341;2;78;49;73;83;88;94
0;341;3;82;60;79;85;89;95
0;341;4;84;64;81;85;90;95
0;342;1;41;4;11;38;70;89
0;342;2;74;26;69;81;87;94
0;342;3;81;54;78;85;90;95
