vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;470;2;1498;1434;139602.95;1.28;10.16;34.84;83.16;334.72
0;470;3;1181;1159;281019.02;5;30.12;79.12;193.92;645.88
0;470;4;123;123;119340.94;33.72;181.89;438.76;981.52;3471.72
0;480;1;2751;2750;707098.71;64.08;101.68;187.08;333.77;622.56
0;480;2;968;968;280213.71;67.76;105.7;191.92;358.87;818.72
0;480;3;89;89;137495.89;86.43;197.52;433.83;824.84;2575.73
0;480;4;18;18;58370.91;155.8;556.31;1143.93;3890.2;17518.72
0;481;1;817;812;44700.03;13.52;24.86;36.5;54.56;182.76
0;481;2;299;297;26072.7;17.16;36.28;59.66;110.15;246.2
0;481;3;16;16;11105.78;22.8;35.34;75.87;240.12;4501.92
0;481;4;1;1;190.96;190.96;190.96;190.96;190.96;190.96
0;482;1;4201;4200;643615.49;57.54;94.49;129.99;183.09;321.31
0;482;2;3492;3492;637560.32;54.51;98.08;140.44;207.09;405.47
0;482;3;259;259;137964.66;63.99;139.56;230.24;487.98;1293.2
0;482;4;32;32;29047.59;162.18;373.02;568.08;962.38;2519.64
0;483;1;2090;2084;79511.88;8;19.08;27.26;39.58;91.24
0;483;2;179;178;23455.72;11.88;27.36;42.82;88.09;528.36
0;483;3;20;20;17949.38;17.64;67.38;214.36;648.02;6009.47
0;483;4;5;5;19370.77;327.48;719.6;1343.12;3687.86;13292.71
0;484;1;579;578;137506.52;43.12;111.88;193.4;298.93;578.75
0;484;2;919;918;199852.68;24.68;55.72;148.87;306;615.16
0;484;3;232;232;85972.51;21.24;81.04;189.68;385.5;1139.33
0;484;4;16;16;28149.86;186.12;532.92;1271.97;2128.63;5561.35
0;500;1;304;294;39469.25;5.12;27.48;44.98;79.72;366.98
0;500;2;518;510;177740.5;5;30.48;83.92;300.69;1664.51
0;500;3;343;340;202299.65;9.44;52.12;164.74;397.16;3459.9
0;500;4;33;33;32338.52;86.96;263.2;585.64;1014.66;3592.99
0;501;1;2561;2406;248202.4;2.44;18.56;45.74;127.32;379.96
0;501;2;1752;1700;243694.39;2.66;23.1;69.11;171.66;542.32
0;501;3;493;491;192463.41;13.76;65.76;142.6;350.74;1377.46
0;501;4;55;55;42140;27.44;144.4;364.64;818.2;2979
0;510;1;449;449;119120.85;43.76;68.72;122.12;324;903.84
0;510;2;441;441;198928.78;56.08;120.72;296.68;622.76;1424.56
0;510;3;120;120;107607.98;159.96;333.62;606.88;1179.07;2792.82
0;510;4;18;18;71376.91;245.96;986.3;2772.7;5985.98;11237.48
0;511;1;229;229;33971.48;28.04;50.64;75.56;134.24;496.04
0;511;2;285;285;78846.4;29.96;71.68;149.75;306.6;1038.52
0;511;3;127;127;103058.82;60.99;182.97;439.96;1179.48;2799.93
0;511;4;20;20;89545.64;209.8;1181.68;3974.18;8372.46;10710.14
0;512;1;581;580;60448.99;36.54;54.18;69.16;99.66;259.84
0;512;2;350;350;66353.92;39.22;68.56;99.72;220.76;703.19
0;512;3;60;60;42639.34;85.34;211.44;387.3;902.71;2546.75
0;512;4;9;9;23039.88;479.32;1234.52;1968.36;3739.44;5748.48
0;513;1;11515;11490;805915.02;23.28;38.6;52.85;73.92;199.68
0;513;2;2282;2280;263124.34;26.26;45.84;65.84;111.65;297.86
0;513;3;147;147;62328.17;27.49;66.92;192.28;425.44;1501.34
0;513;4;26;26;112043.04;248.92;617.47;1492.07;3346.68;6824.36
0;514;1;3054;3050;148481.63;13.72;26.76;38.18;54.68;124.28
0;514;2;1145;1141;86800.11;21.2;42.96;60.6;90.04;185.52
0;514;3;28;28;9230.08;31.4;55.44;90.6;201.7;2563.69
0;514;4;5;5;10403.1;524.6;674.68;1096.44;3212.22;4895.16
0;517;1;517;514;24506.93;10.8;21.16;30.61;47.07;166.72
0;517;2;180;179;16223.3;11.16;27.48;38.27;86.34;404.86
0;517;3;39;39;12647.31;14.12;32.88;89.84;310.72;978.19
0;517;4;2;1;407.68;407.68;407.68;407.68;407.68;407.68
0;518;1;1357;1349;90959.32;14.64;27.08;40.8;72.76;215.27
0;518;2;495;494;81335.15;20.72;37.48;72.2;176;530.24
0;518;3;114;114;106610.47;39;121.88;337.58;712.08;4022.34
0;518;4;19;19;89202.95;188.64;788.36;1765.49;5137.35;28020.66
0;519;1;4414;4409;352538.06;31.96;48.4;63.39;85.19;215.08
0;519;2;553;551;66728.48;37.12;56.31;78.28;128.68;338.28
0;519;3;22;22;9750.76;38.32;66.94;190.25;425.64;1769.45
0;519;4;5;5;14196.51;662.2;1452.84;1504.08;3198.27;7379.12
0;530;1;141;136;17593.67;3.48;21.4;34.18;88.9;345.16
0;530;2;527;520;141531.76;3.96;25.28;53.22;142.48;1262.7
0;530;3;417;412;240131.92;8.76;48.84;123.5;322.56;2577.83
