vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;602;7406806;4805.35;19651.05;31101.48;40550.97;59823.47
0;603;5599379;1510.85;4882.59;14538.61;22826.44;44702.03
0;610;1007024;5908.53;20586.81;29847.96;59133.75;122703.54
0;611;2543515;1474.8;7977.82;14215.79;19326.66;42945.37
0;612;4423221;2821.64;9817.47;15608.11;23840.81;38884.77
0;613;505738;1570.02;8169.07;11132.52;23132.73;40947.46
0;614;6024031;838.64;3042.7;7867.79;12830.03;22586.89
0;620;1530235;6776.22;14946.53;26795.67;56918.06;85415.04
0;621;1858960;1242.83;5944.25;11053.73;17039.73;41652.17
0;622;1874684;1248.16;6713.43;10720;16102.56;32332.14
0;623;365041;563.78;3022.72;7193.6;14693.48;38424.53
0;624;2007960;329.51;938.33;2076.22;5668.72;14030.29
0;625;1509211;1897.85;5506.42;9869.41;14120.49;23775.23
0;626;1466383;1538.81;3513.11;6302.31;9459.87;15475.8
0;630;2888804;7493.9;21039.24;28524.86;37103.8;72980.78
0;631;3263056;4565.24;12508.78;19273.8;34117.49;66732.49
0;632;1325115;1042.9;2050.61;2703.69;5813.41;27173.34
0;633;4284844;816.2;2334.09;4654.95;9855.12;33167.87
0;634;2028253;1258.15;4011.83;6809.73;10295.21;17936.16
0;635;198832;958.7;2548.35;4158.82;7420.1;16091.61
0;636;1484376;758.29;1737.58;3156.47;4974.65;14946.16
0;637;5699991;708.42;1282.13;2331.09;3795.82;8723.8
0;638;4741934;608.58;827.24;1260.03;2141.36;5342.89
0;639;1374067;1020.73;2516.71;4764.56;8443.2;19932.56
0;640;1233847;680.96;1306.61;2903.51;5282.05;12362.1
0;650;2298502;3142.22;4251.21;5630.52;9054.33;25602.63
0;651;4034361;1103.86;1579.53;2263.96;4209.38;17927.15
0;660;15113;1925.23;1925.23;4719.81;8467.58;8467.58
0;661;7605313;754.37;1550.34;2726.18;5811.55;15864.29
0;662;1995057;961.57;1902.32;3238;5114.27;9948.5
0;663;43936800;973.4;1845.45;3271.76;5868;13079.71
0;664;24087286;1097.75;2195.34;3526.17;5913.76;14588.01
0;680;5888255;1701.1;3795.6;7525.94;15635.19;50505.35
0;681;11085911;1328.57;2338.39;4472.57;12822;36849.68
0;682;8963772;1634.59;2897.3;4341.75;7338.8;22002.41
0;683;7556483;1308.92;2241.96;3501.25;7696.17;24694
0;690;18821709;1188.23;3676.96;10278.72;27196.22;64870.23
0;691;28551165;1290.15;3202.85;6165.62;11938.39;30029.35
0;692;4579510;995.32;1727.05;2661.17;5767.84;19888.91
0;693;108364749;959.45;1758.84;2699.84;4116.85;7947.36
0;694;13251937;950.86;2090.67;4175.11;7646.16;20350.65
0;710;21211459;2263.93;6768.42;13086.82;24294.55;53666.54
0;711;14066509;1202.44;2854.83;5767.14;11994.74;34851.39
0;720;66224136;1154.09;3297.8;5728.37;9875.43;22551.6
0;721;14319676;963.62;1922.64;3213.59;5599.05;13796.24
0;722;8965177;701.12;1239.83;2096.53;3513.37;8027.25
0;723;15655214;680.94;1136.21;1642.92;2476.76;5713.21
0;724;14050015;813.84;1734.25;3061.32;5847.35;17285.82
0;740;6255578;1795.53;6482.12;12500.58;21616.39;45414.28
0;750;2270326;599.01;788.45;1232.25;6055.25;28513.7
0;751;26071438;662.93;2019.37;4520.64;8086.48;21974.16
0;752;2241158;593.61;910.63;2290.87;5923.83;14847.99
0;753;4616598;629.31;966.54;3713.79;7936.26;23795.12
0;754;22726550;616.02;1192.07;3532.59;6716.35;16160.82
0;755;6128858;684.09;1241.17;2634.34;5019.07;14033.02
0;756;9066133;608.41;835.82;1747.73;3828.28;11600.51
0;757;42989648;1103.17;3715.11;6982.28;11836.31;24617.76
0;758;3911654;639.37;1025.54;1700.06;3493.22;12100.07
0;759;3585960;879.73;2814.69;5665.78;12841.11;44805.85
