vrai_hop;rdrg;N;NAB
0;740;466;306
0;750;459;33
0;751;2171;242
0;752;386;34
0;753;1106;123
0;754;2458;295
0;755;2543;169
0;756;3521;369
0;757;4544;1653
0;758;599;44
0;759;328;36
0;760;4683;156
0;770;489;40
0;772;1550;134
0;773;560;100
0;774;494;25
0;775;7831;718
0;776;968;127
0;791;4235;2944
0;811;1425;139
0;812;10584;1492
0;813;5136;2176
0;815;2239;392
0;816;1829;224
0;841;11;8
0;842;259;166
0;843;11;6
0;844;650;163
0;850;9386;5717
0;860;2821;1004
0;861;33424;3391
0;862;14269;2189
0;863;888;43
0;890;131;121
0;892;228;171
0;893;47;35
0;894;335;204
0;910;171;159
0;911;179;167
0;912;1159;1092
0;930;1218;556
0;950;4655;3589
0;951;13590;9679
0;952;5189;3283
0;955;43;6
0;956;309;36
