vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;912;4;440220;206.32;472.44;1053.58;1986.44;5328.84
0;930;1;601;5.8;34.84;46.52;63.28;187.4
0;930;2;61162;4.8;38.88;77.32;143.92;445.48
0;930;3;158310;19.2;73.92;145.68;285.66;900.12
0;930;4;307213;59.92;310.97;673.95;1187.88;3202.89
0;950;1;136663;15.96;43.88;86.28;182.47;445.88
0;950;2;558771;12.12;66.36;151.82;338.16;1176.79
0;950;3;1521590;47.76;218.22;484.06;1066.82;3352.43
0;950;4;2665841;217.16;694;1484.93;3254.86;8502.28
0;951;1;493374;0;21.8;35.64;55.6;204.95
0;951;2;865920;2.84;34.86;89.32;225.36;932.78
0;951;3;2246120;22.15;145.48;338.56;764.2;2362.2
0;951;4;3880453;139.51;512.82;1137.01;2210.46;6333.98
0;952;1;203060;5.76;28.32;48.02;91.92;265.24
0;952;2;463881;8.84;39.68;99.52;240.8;787.28
0;952;3;965475;34.16;127.72;294.32;649.56;2253.84
0;952;4;550765;146.48;419.5;914.26;1972.8;7647.52
0;955;0;1640;0;0;4.12;17.76;109.68
0;956;0;14009;0;0.24;25.08;84.84;770.07
0;956;1;6461;0;2.36;9.66;52.68;199.16
