vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;004;1;N;12;5229.92;30.52;32.68;82.76;233.66;2913.12
0;-p;004;1;R;9;377.09;2.04;7.6;17.06;82.8;139.06
0;-p;004;1;S;3;12.4;2.16;2.16;3.8;6.44;6.44
0;-p;004;1;V;6;259.92;7.08;16.24;35.28;49.08;116.96
0;-p;004;2;A;37;1167.76;1.2;6.85;20.4;46.32;120.32
0;-p;004;2;B;43;11146.97;5.36;20.28;116.61;268.94;1228.81
0;-p;004;2;C;26;692.2;0.12;1.8;4.07;14.24;105.68
0;-p;004;2;D;6;130.08;5.09;7.58;11.64;31.13;63
0;-p;004;2;G;1;2.64;2.64;2.64;2.64;2.64;2.64
0;-p;004;2;H;28;1411.85;0.6;4.74;22.5;43.17;124.24
0;-p;004;2;J;30;6282.96;5.08;29.14;94.78;296.32;661.6
0;-p;004;2;L;2;294.43;62.9;62.9;147.21;231.53;231.53
0;-p;004;2;M;35;1163.98;2.08;4.84;12.76;26.24;227.04
0;-p;004;2;N;42;7315.48;13.4;45.36;79.4;259.76;537.48
0;-p;004;2;P;1;6.2;6.2;6.2;6.2;6.2;6.2
0;-p;004;2;R;30;848.21;0.4;6.48;12.27;38.61;132.48
0;-p;004;2;S;7;30.82;0.54;2.16;2.36;7.2;14.04
0;-p;004;2;V;22;1496.4;2.04;11;31.66;130.28;207.72
0;-p;004;3;A;161;13678.56;6;25;52.96;120.32;250.28
0;-p;004;3;B;168;145551.97;43.52;234.69;493.35;1132.9;2690.74
0;-p;004;3;C;149;22939.09;0.64;6.72;46.04;163.32;725.72
0;-p;004;3;D;55;1167.67;1.69;2.55;5.1;21;45.01
0;-p;004;3;G;10;64.24;0.28;3.48;5.86;6.68;16.44
0;-p;004;3;H;110;15018.2;2.16;9.56;33.44;89.2;291.08
0;-p;004;3;J;164;163162.11;12.2;152.16;615.5;1242.52;4125.36
0;-p;004;3;L;8;7834.39;3.12;69.51;151.6;1097.78;5193.48
0;-p;004;3;M;146;10431;3.6;9.36;22.04;47.92;238.36
0;-p;004;3;N;166;111006.2;33.8;134.32;411.62;892.04;1900.8
0;-p;004;3;P;2;305.96;126.6;126.6;152.98;179.36;179.36
0;-p;004;3;R;141;9636.18;0.44;11.53;37.35;88.2;238.21
0;-p;004;3;S;31;216.36;1.2;2.36;5.64;10.16;20.6
0;-p;004;3;V;107;11077.78;2.36;15.91;69;138.6;352.12
0;-p;004;4;A;2104;384229.15;20.72;63.74;125.14;235.28;551.76
0;-p;004;4;B;2111;4782830.04;255.3;729.96;1459.56;2732.82;7212.74
0;-p;004;4;C;2061;683347.19;4.48;48.68;144.16;394;1309.4
0;-p;004;4;D;1077;34661.62;1.69;3.88;10.39;27.69;97.5
0;-p;004;4;G;112;1154.44;0.24;2.14;5.92;11.84;31
0;-p;004;4;H;1621;564795.18;2.16;20.6;64.48;154.36;1196.28
0;-p;004;4;J;2108;6158907.27;146.52;904.06;1770.88;3367.44;9178.08
0;-p;004;4;L;89;157423.97;1.62;27.53;182.28;1061.68;11824.73
0;-p;004;4;M;2021;293249.52;6.8;21;47.92;106.52;561
0;-p;004;4;N;2109;3126960.94;150.36;479.32;921.24;1798.08;4802.52
0;-p;004;4;P;48;4035;6.2;12.7;52.76;110.8;263.76
0;-p;004;4;R;1956;175049.58;2.88;21.39;51.2;114.53;304.88
0;-p;004;4;S;564;7373.64;1.08;2.76;5.72;14.42;47.48
0;-p;004;4;V;1709;278666.47;6.12;49.08;102.32;206.36;487.12
0;-p;005;1;A;33;582.44;0.48;4.76;9.32;23.08;80.8
0;-p;005;1;B;35;4855.6;6.6;83.76;116.06;155.78;370.48
0;-p;005;1;C;17;274.6;0.32;0.64;2.2;16.76;100.4
0;-p;005;1;D;2;9.47;2.55;2.55;4.73;6.92;6.92
0;-p;005;1;G;1;16.6;16.6;16.6;16.6;16.6;16.6
0;-p;005;1;H;19;962.52;0.16;2.16;5.36;29.44;685.08
0;-p;005;1;J;32;9654.6;5.08;40.18;84.86;171.84;1142.12
0;-p;005;1;L;1;2021.34;2021.34;2021.34;2021.34;2021.34;2021.34
0;-p;005;1;M;32;487.93;4.68;7.84;10.84;17.98;28.64
0;-p;005;1;N;35;4947.68;25.48;62.76;103.68;193.44;484.08
0;-p;005;1;R;22;382.67;0.89;3.48;11.81;23.87;51.2
0;-p;005;1;S;1;0.88;0.88;0.88;0.88;0.88;0.88
0;-p;005;1;V;21;1129.32;2.56;5.92;42.08;91.56;138.6
0;-p;005;2;A;145;4921.76;2.36;8.96;18.88;44.12;110.68
0;-p;005;2;B;162;39356.35;10.92;79.2;158.6;316.56;733.12
0;-p;005;2;C;108;1707.76;0.4;1.68;6.16;14.36;49.08
0;-p;005;2;D;17;303.12;1.68;5.1;10.39;13.85;76.5
0;-p;005;2;G;6;35.48;1.2;4.04;6.44;7;10.36
0;-p;005;2;H;85;1659.84;0.4;2.16;10.28;20.64;62.28
0;-p;005;2;J;151;33391.04;8.92;44.04;108.08;261.8;1038.6
0;-p;005;2;L;7;1573.84;28.15;107.56;123.99;222.41;843.76
0;-p;005;2;M;143;2315.64;3.44;6.8;13.16;23.56;40.36
0;-p;005;2;N;161;24891.13;20.2;66.92;122.52;207.52;371.88
0;-p;005;2;P;1;2.8;2.8;2.8;2.8;2.8;2.8
