vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;614;2;155;74;1495.2;2.2;5.8;9.3;14.7;105.9
0;614;3;43;32;1485.9;3.2;6.7;11.8;55.3;153.2
0;614;4;4;3;39.3;9.2;9.2;12.5;17.6;17.6
0;621;1;15;2;18.4;8;8;9.2;10.3;10.3
0;621;2;40;24;612.1;1;4.2;11.5;23.6;98.6
0;621;3;32;25;715;4.2;7.7;14.8;44;96.1
0;621;4;19;15;1790.9;1.4;12.1;29.9;254.7;539.7
0;622;1;32;17;183.8;4.2;6.9;10.4;11.5;20.2
0;622;2;61;49;775.5;3.9;6;8.8;13.5;105.3
0;622;3;68;57;1238.6;4.2;8.8;11.3;17;88.8
0;622;4;8;7;243.4;3.4;9.3;16.9;42.5;136
0;623;1;10;9;136.1;0.5;7;10.3;10.6;63.1
0;623;2;15;11;410;1.4;8.4;14.7;25;221.6
0;623;3;9;8;738.5;9.7;39.7;72.6;118.4;267.6
0;623;4;2;2;103.9;20.6;20.6;52;83.4;83.4
0;625;1;71;21;464.8;3;5;7.4;16.3;67.3
0;625;2;53;28;472.5;2.3;6;6.9;12.8;62.5
0;625;3;19;12;190.1;2.3;7.3;11.4;14.8;74.8
0;625;4;3;2;284.4;32.7;32.7;142.2;251.7;251.7
0;626;1;85;12;173.9;1.4;6.3;8.2;13.6;55.9
0;626;2;73;12;121.7;2.1;4.9;10.4;15.3;19.2
0;626;3;82;33;341.9;2.3;6.5;8.4;12.5;26
0;630;1;4;3;14.8;1.9;1.9;5.1;7.8;7.8
0;630;2;11;11;445.9;3.4;7.2;18.9;79.6;133.7
0;630;3;18;18;955.7;1.9;6.2;16.8;40.2;472.4
0;630;4;52;51;5903.5;3.8;11.4;37.3;162;415.8
0;631;1;5;3;32.8;3;3;9.2;20.6;20.6
0;631;2;24;22;683.4;1.9;7.5;13.9;42.1;100.2
0;631;3;43;43;4409.8;4.7;15.6;55.4;94.8;547.6
0;631;4;39;38;7886.3;1.7;35.7;117.5;249.6;660.3
0;633;1;53;14;338.2;0.6;3.8;9;19.3;182.6
0;633;2;108;56;1231.4;1.8;5;12.1;25.4;74.1
0;633;3;83;58;3683.6;3.6;10.2;18.3;57.8;329.4
0;633;4;55;49;4002.2;7.6;19;38.9;92.8;295.9
0;634;1;37;24;562.4;5.3;6;8.6;15.6;108.6
0;634;2;78;58;818.2;2.3;7.4;11.1;16.2;39.1
0;634;3;111;98;2989.3;3;8.3;12.9;25;103.2
0;634;4;58;57;3148;7.4;13.7;34.5;86.6;179.2
0;636;1;56;45;1252.8;3.4;9;14.8;33.4;76.6
0;636;2;51;43;1364.1;2.8;9;14.2;41.1;109.2
0;636;3;15;14;655;6.5;10.8;20.7;29.3;174.3
0;636;4;3;3;86.4;24.4;24.4;28.2;33.7;33.7
0;639;1;193;67;1495.2;2.9;6.9;13.4;25.7;83.9
0;639;2;105;46;1133.8;2.3;5.6;13.3;34.8;63.5
0;639;3;54;27;771;4.2;9.1;15.8;32.5;110.7
0;639;4;11;10;826.1;3.7;7.2;11.9;157;385.7
0;640;1;418;29;370.6;1.7;2.9;7;14.8;39
0;640;2;296;37;687.8;1.9;5.1;11.6;19.9;84.9
0;640;3;137;48;738.4;1.4;4.9;10.2;16.7;44
0;640;4;1;1;96.4;96.4;96.4;96.4;96.4;96.4
0;650;1;92;80;1117.6;3.1;3.6;3.9;11.8;55.9
0;650;2;68;61;1646.4;3.1;3.8;10.1;22.8;62.1
0;650;3;34;31;5795;3.8;10.4;42.3;275.2;1161.1
0;650;4;20;17;6272.3;3.9;108.8;245.3;390.2;1237
0;651;1;505;193;3515;1.8;3.6;3.9;11.2;74.1
0;651;2;98;65;2039.3;1.8;3.6;6.8;20.8;88.4
0;651;3;49;36;3585.3;3.4;8.5;26.6;94.1;488.3
0;651;4;10;10;22159.7;158;788.5;1741;3654.6;5609.9
0;660;1;447;310;43015;3.2;34.9;113.4;195.3;382.9
0;660;2;1856;1538;380390.6;6.1;67.4;169.7;286.2;559.4
0;660;3;1425;1255;516651.7;9.3;127.4;251.9;412.8;927.4
0;660;4;286;272;806095.9;55.9;267.9;589.8;2060.9;14057.9
0;661;1;557;58;1330;0.4;3.2;14.4;30.4;81
0;661;2;280;67;5823.3;1;3.9;21.4;56.2;331.7
0;661;3;160;81;21066.6;1.7;9.2;47.3;257.4;658.5
0;661;4;37;32;103766.1;4.6;166.3;614.4;2614;15408.6
0;662;1;320;168;6102.4;1.5;2.7;16.6;46.1;131.1
0;662;2;216;149;10671.3;2.2;8.7;35.4;71.6;322
0;662;3;76;58;8186.9;2.3;29.8;57.4;106.4;856.1
0;662;4;12;11;2691;32.6;39.3;96;505.4;1092.4
0;663;1;3137;629;19288.6;1.2;6.6;16.5;34.9;107.7
0;663;2;4080;902;67127.8;0.6;4.1;12.3;48.6;243.8
0;663;3;2362;1018;132507.1;1.4;6.2;25.4;86.3;499.4
0;663;4;337;256;119834.7;3.9;25.6;116.5;438.1;1571.6
0;680;1;174;154;2393.6;2.4;3.8;5.9;14.5;68.7
0;680;2;306;270;15111.4;3.4;3.9;11.1;38.4;261
0;680;3;221;205;97641.1;3.6;10.6;62;268.2;1102
0;680;4;103;103;250229.5;4.6;157.9;525.7;1366.9;13653.2
0;681;1;1292;568;6424.8;1.7;3.6;3.9;7.2;37.8
0;681;2;842;438;17924.3;1.7;3.6;5;21.5;228.9
0;681;3;303;230;134037.6;2.3;8.4;61.9;328.6;2979.9
0;681;4;100;98;322562.1;7.9;177.2;647.2;3669.3;14860.9
0;690;1;175;94;83011;1;7.1;23.7;163.6;5303.8
0;690;2;298;195;127276.4;2.3;20.8;97;411.4;3054.8
