vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;042;4;2;320;16096;49.76;50.76;50.76;50.76;50.76
0;042;4;3;322;243968;151.61;357.75;580.01;938.11;1989.37
0;043;1;1;1876;138457;52.6;61.33;72.6;84.46;100.1
0;043;1;2;1876;94850;49.76;50.76;50.76;50.76;50.76
0;043;1;3;1876;283103;85.34;103.29;128.67;166.02;281.19
0;043;2;0;1;0;0;0;0;0;0
0;043;2;1;887;67483;53.34;63.35;75.47;85.71;107.07
0;043;2;2;887;44860;49.76;50.76;50.76;50.76;50.76
0;043;2;3;887;191612;94.59;121.17;158.19;228.23;473.57
0;043;3;1;148;11098;54.38;63.14;72.43;86.08;107.48
0;043;3;2;148;7493;49.76;50.76;50.76;50.76;50.76
0;043;3;3;148;70291;112.47;185.23;279.14;492.85;1492.07
0;043;4;1;13;1022;59.59;64.53;83.32;85.71;105.59
0;043;4;2;13;657;49.76;50.76;50.76;50.76;50.76
0;043;4;3;13;9598;140.11;312.99;482.89;740.79;3753.63
0;044;1;1;477;34032;52.73;61.63;69.82;80.55;95.75
0;044;1;2;477;24132;49.76;50.76;50.76;50.76;50.76
0;044;1;3;477;115096;86.31;101.83;170.01;268.11;609.49
0;044;2;1;982;69021;52.73;59.59;68.17;78.75;95.5
0;044;2;2;982;49494;49.76;50.76;50.76;50.76;50.76
0;044;2;3;982;368805;88.32;140.95;244.4;414.35;1132.25
0;044;3;0;1;0;0;0;0;0;0
0;044;3;1;1444;105725;52.73;62.3;71.01;83.08;101.37
0;044;3;2;1443;72722;49.76;50.76;50.76;50.76;50.76
0;044;3;3;1444;618841;86.19;106.11;240.57;514.29;1409.21
0;044;4;1;295;22339;52.63;63.87;75.27;86.56;103.02
0;044;4;2;295;14896;49.76;50.76;50.76;50.76;50.76
0;044;4;3;295;194348;92.14;150.03;379.83;854.19;2322.83
0;045;1;0;1;0;0;0;0;0;0
0;045;1;1;1327;92570;52.2;58.48;67.68;77.74;95.75
0;045;1;2;1327;67018;49.76;50.76;50.76;50.76;50.76
0;045;1;3;1328;266864;94.62;132.44;169.94;222.57;394.34
0;045;2;0;4;0;0;0;0;0;0
0;045;2;1;7994;562411;52.73;59.78;68.17;78.5;95.54
0;045;2;2;7994;403153;49.76;50.76;50.76;50.76;50.76
0;045;2;3;8002;2736574;109.43;165.93;232.29;354.93;1027.73
0;045;3;0;2;0;0;0;0;0;0
0;045;3;1;4963;355127;53;60.4;69.38;81.12;96.96
0;045;3;2;4963;250014;49.76;50.76;50.76;50.76;50.76
0;045;3;3;4968;2867257;118.52;227.29;370.39;649.74;1869.42
0;045;4;1;988;71136;52.88;60.55;69.61;81.96;99.76
0;045;4;2;988;49785;49.76;50.76;50.76;50.76;50.76
0;045;4;3;989;749279;103.44;271.68;528.51;927.52;2397
0;046;1;1;180;13065;52.07;58.79;70.66;81.19;107.23
0;046;1;2;179;9014;49.76;50.76;50.76;50.76;50.76
0;046;1;3;180;28885;85.37;104.06;135.35;175.65;320.76
0;046;2;1;543;37736;52.35;59.55;67.16;76.97;95.54
0;046;2;2;543;27169;49.76;50.76;50.76;50.76;50.76
0;046;2;3;543;133031;91.93;131.77;183.48;287.33;551.45
0;046;3;1;324;22931;52.73;62.07;69.09;78.46;95.75
0;046;3;2;324;15974;25.38;50.76;50.76;50.76;50.76
0;046;3;3;324;115141;95.81;172.28;268.88;445.79;769.88
0;046;4;1;25;1828;52.61;63.82;73.71;82.34;96.46
0;046;4;2;25;1266;49.76;50.76;50.76;50.76;50.76
0;046;4;3;25;11425;127.93;195.49;405.57;499.84;1173.15
0;047;1;0;1;0;0;0;0;0;0
0;047;1;1;1986;136325;52.5;57.88;66.54;76.82;93.19
0;047;1;2;1986;99785;49.76;50.76;50.76;50.76;50.76
0;047;1;3;1986;299251;86.84;108.69;134;172.57;260.98
0;047;2;0;3;0;0;0;0;0;0
0;047;2;1;4093;286497;53;59.55;67.21;77.74;95.5
0;047;2;2;4093;205715;49.76;50.76;50.76;50.76;50.76
0;047;2;3;4093;846412;93.91;130.11;172.68;232.19;428.59
0;047;3;1;1093;77394;53.84;60.03;68.17;79.49;95.75
0;047;3;2;1093;54871;49.76;50.76;50.76;50.76;50.76
0;047;3;3;1094;366780;112.11;182.57;271.41;410.46;773.79
0;047;4;1;82;5694;52.6;59.18;68.71;77.51;90.95
0;047;4;2;82;4145;49.76;50.76;50.76;50.76;50.76
0;047;4;3;82;48322;162.75;311.53;446.17;703.15;1715.92
0;048;1;0;1;0;0;0;0;0;0
0;048;1;1;1603;115605;52.66;60.04;70.76;81.19;101.37
0;048;1;2;1613;81472;49.76;50.76;50.76;50.76;50.76
0;048;1;3;1614;264943;86.08;102.83;131.98;183.11;344.27
0;048;2;0;1;0;0;0;0;0;0
0;048;2;1;1174;84940;52.73;60.4;69.6;81.19;100.1
0;048;2;2;1174;59229;49.76;50.76;50.76;50.76;50.76
0;048;2;3;1174;278557;97.14;134.19;198.07;281.79;519.01
0;048;3;1;1128;81633;52.73;60.03;69.68;83.1;101.37
0;048;3;2;1126;56862;49.76;50.76;50.76;50.76;50.76
0;048;3;3;1128;343428;92.47;133.15;214.43;362.22;779.56
0;048;4;1;55;4053;55.08;62.43;71.56;82.34;103.02
0;048;4;2;55;2788;49.76;50.76;50.76;50.76;50.76
0;048;4;3;55;43291;145.39;300.32;515.61;1220.53;1804.39
0;049;1;1;111;7772;51.59;58.48;66.52;78.75;105.74
0;049;1;2;111;5616;49.76;50.76;50.76;50.76;50.76
0;049;1;3;111;28742;99.91;166.13;239.38;305.6;494.73
0;049;2;0;1;0;0;0;0;0;0
0;049;2;1;344;24263;50.8;58.38;68.69;81.17;95.54
0;049;2;2;344;17284;49.76;50.76;50.76;50.76;50.76
0;049;2;3;344;140424;107.13;185.6;265.45;397;1323.97
0;049;3;1;145;10490;52.73;59.79;70.34;83.1;101.37
0;049;3;2;145;7334;49.76;50.76;50.76;50.76;50.76
0;049;3;3;145;92010;132.9;295.13;456.06;713.53;2061.04
0;049;4;1;75;5434;49.22;62.98;68.52;84.34;105.74
0;049;4;2;75;3788;49.76;49.76;50.76;50.76;50.76
0;049;4;3;75;55761;123.45;315.35;601.47;869.03;1933.23
0;050;1;1;187;13107;52.73;58.83;66.65;77.74;95.75
0;050;1;2;188;9500;49.76;50.76;50.76;50.76;50.76
0;050;1;3;189;39041;92.98;135.84;183.07;242.11;390.35
0;050;2;1;284;20752;52.6;60.58;71.18;84.46;105.42
0;050;2;2;284;14317;49.76;50.76;50.76;50.76;50.76
0;050;2;3;286;76864;94.55;136.07;192.08;313.04;563.73
0;050;3;1;175;13041;51.72;62.09;72.8;87.62;107.24
0;050;3;2;174;8711;49.76;50.76;50.76;50.76;50.76
0;050;3;3;176;93689;124.03;247.96;361.72;599.61;1431.6
0;050;4;1;59;4510;54.89;63.24;72.55;85.74;111.7
0;050;4;2;58;2934;49.76;50.76;50.76;50.76;50.76
0;050;4;3;59;44510;187.53;388.17;575.1;922.18;2720.1
0;051;1;1;946;65840;50.19;58;66.82;78.75;99.72
0;051;1;2;946;48068;50.76;50.76;50.76;50.76;50.76
