vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;005;4;9;119;2133;3.15;8.05;12.95;22.75;41.72
0;020;1;0;8;0;0;0;0;0;0
0;020;1;1;95;3627;4.41;10.52;23.81;57.13;113.56
0;020;1;2;11;46;1.75;4.2;4.2;4.2;6.65
0;020;1;3;15;337;1.38;1.4;1.4;32.2;83.96
0;020;1;4;30;174;2.45;2.45;4.9;7.35;12.25
0;020;1;5;49;498;2.1;2.8;6.16;11.27;36.4
0;020;1;6;4;58;5.25;8.05;11.13;20.75;30.1
0;020;1;7;91;495;1.12;2.24;4.41;6.44;14.28
0;020;1;8;80;404;1.19;1.82;4.06;6.3;14.17
0;020;1;9;39;205;1.05;3.5;4.41;6.3;9.1
0;020;2;0;1;0;0;0;0;0;0
0;020;2;1;133;8013;7.24;20.44;40.21;77.44;234.98
0;020;2;2;40;153;1.74;1.75;4.2;4.2;10.32
0;020;2;3;18;122;1.38;1.4;1.4;3.15;44.45
0;020;2;4;64;519;2.45;2.45;7.3;9.8;19.6
0;020;2;5;82;1022;2.03;2.8;8.5;17.92;40.32
0;020;2;6;13;91;1.75;5.25;7.56;9.1;11.55
0;020;2;7;130;1043;1.68;3.92;5.6;9.52;20.44
0;020;2;8;131;815;1.26;1.82;3.78;7.35;22.85
0;020;2;9;67;468;1.05;3.5;5.6;8.4;14.35
0;020;3;1;161;18251;12.09;41.33;69.6;140.79;345.63
0;020;3;2;39;220;1.75;1.75;4.2;6.65;15.05
0;020;3;3;43;1012;1.38;1.4;1.4;11.2;95.16
0;020;3;4;85;1055;2.45;4.9;7.35;14.7;36.75
0;020;3;5;128;3601;1.4;6.16;15.82;30.34;115.22
0;020;3;6;19;141;0.56;1.75;7;9.31;24.01
0;020;3;7;156;1776;1.68;5.04;8.54;14.27;28.21
0;020;3;8;158;1347;1.26;3.64;6.47;10.99;23.1
0;020;3;9;115;947;1.92;4.2;6.91;10.5;19.6
0;020;4;1;237;78474;38.96;131.05;236.71;442.18;981.93
0;020;4;2;91;802;1.75;3.5;6.65;9.8;24.85
0;020;4;3;78;1077;1.4;1.4;1.4;8.4;83.96
0;020;4;4;166;4266;2.45;7.35;14.7;31.46;79.45
0;020;4;5;223;17518;5.46;27.23;57.96;94.22;216.37
0;020;4;6;48;342;1.75;3.5;5.81;10.32;13.37
0;020;4;7;227;6502;3.92;13.98;21.98;35.77;77
0;020;4;8;234;5428;3.08;7.84;16.6;26.32;70
0;020;4;9;190;2016;2.8;5.6;8.57;13.3;23.45
0;021;1;0;54;0;0;0;0;0;0
0;021;1;1;1005;40288;4.86;14.34;30.05;54.64;102.64
0;021;1;2;120;844;1.75;1.75;4.2;6.82;25.55
0;021;1;3;15;55;1.38;1.4;1.75;2.8;15.4
0;021;1;4;428;3078;2.45;2.45;4.9;8.22;19.6
0;021;1;5;606;6119;1.89;2.8;5.67;10.99;32.83
0;021;1;6;242;1465;1.75;1.75;7;9.31;11.06
0;021;1;7;955;4689;1.12;2.24;3.92;6.44;11.48
0;021;1;8;925;4220;1.12;1.82;3.64;5.46;13.37
0;021;1;9;534;3020;2.45;3.15;5.46;7;10.85
0;021;2;0;39;0;0;0;0;0;0
0;021;2;1;1292;77362;7.96;24.95;48.05;75.22;146.34
0;021;2;2;209;1234;1.75;1.75;4.2;6.65;15.05
0;021;2;3;39;600;1.4;1.4;7;21;83.96
0;021;2;4;639;5545;2.45;2.45;4.9;9.8;25.2
0;021;2;5;855;11931;1.89;3.43;6.65;14.84;49.07
0;021;2;6;331;2321;1.75;4.62;7.35;9.31;12.25
0;021;2;7;1230;8502;1.4;3.36;5.6;8.68;16.24
0;021;2;8;1209;7095;1.26;2.52;4.62;7.07;14.63
0;021;2;9;761;4974;2.76;3.85;5.6;7.7;14
0;021;3;0;2;0;0;0;0;0;0
0;021;3;1;759;95305;20.39;44.69;79.89;130.61;405.67
0;021;3;2;201;1672;1.75;2.8;4.2;8.4;28.35
0;021;3;3;25;856;1.4;1.4;7;50.05;167.92
0;021;3;4;464;6334;2.45;4.9;9.8;17.15;39.9
0;021;3;5;630;17102;2.03;5.6;12.25;32.83;101.61
0;021;3;6;190;1502;1.75;5.25;8.75;9.31;15.05
0;021;3;7;727;9341;2.8;5.32;9.52;15.68;33.13
0;021;3;8;741;6788;1.82;3.64;5.88;10.92;26.32
0;021;3;9;570;4425;2.77;4.9;6.65;8.57;16.8
0;021;4;1;755;261698;42.65;114.29;217.09;413.62;1049.78
0;021;4;2;297;3086;1.75;4.15;5.95;11.9;30.8
0;021;4;3;55;2122;1.38;1.4;2.8;83.96;167.92
0;021;4;4;500;14063;2.45;7.35;14.7;34.3;91.87
0;021;4;5;718;63206;5.53;21.07;57.29;116.13;295.66
0;021;4;6;172;1646;1.75;3.5;8.22;12.42;25.41
0;021;4;7;718;21890;4.76;12.04;21.35;37.24;88.62
0;021;4;8;746;16213;2.34;6.72;13.44;27.44;67.48
0;021;4;9;568;5641;2.8;4.9;8.29;12.17;23.1
0;022;1;0;41;0;0;0;0;0;0
0;022;1;1;101;1125;1.78;4.41;9.12;13.43;30.27
0;022;1;2;8;32;1.75;2.97;4.2;4.55;6.65
0;022;1;3;1;168;167.92;167.92;167.92;167.92;167.92
0;022;1;4;9;36;2.45;2.45;2.45;4.9;11.2
0;022;1;5;70;563;0.49;5.53;7.52;10.5;19.39
0;022;1;6;18;118;1.75;5.25;6.3;9.31;11.06
0;022;1;7;86;192;1.12;1.68;1.68;2.45;4.76
0;022;1;8;85;236;0.56;1.26;1.82;2.31;7.28
0;022;1;9;34;122;1.05;2.8;2.8;4.9;7.17
0;022;2;0;19;0;0;0;0;0;0
0;022;2;1;221;5148;2.1;6.54;11.82;24.75;81.74
0;022;2;2;40;201;1.75;1.75;4.2;6.82;13.21
0;022;2;3;3;18;1.4;1.4;5.25;11.41;11.41
0;022;2;4;48;356;2.45;2.45;4.9;7.35;30.45
0;022;2;5;161;2539;1.89;5.6;8.4;16.45;51.1
0;022;2;6;40;295;1.75;5.25;8.15;9.31;12.18
0;022;2;7;199;772;1.12;1.68;2.8;4.48;10.64
0;022;2;8;183;549;0.56;1.26;1.82;3.64;8.12
0;022;2;9;71;320;1.05;2.8;3.5;5.95;10.14
0;022;3;0;6;0;0;0;0;0;0
0;022;3;1;109;7559;5.35;18.58;47.13;85.02;193.74
0;022;3;2;37;292;1.75;4.2;4.2;8.05;35.93
0;022;3;3;7;318;3.15;8.4;33.6;83.96;95.16
0;022;3;4;49;626;2.45;2.45;7.35;14.7;45.85
0;022;3;5;98;2988;2.8;9.1;15.89;35.84;110.32
0;022;3;6;25;150;1.75;3.5;5.25;7;12.6
0;022;3;7;101;784;1.68;2.52;5.04;11.2;20.72
0;022;3;8;99;635;1.24;1.82;4.06;9.1;22.4
0;022;3;9;33;164;1.05;2.8;3.67;6.65;11.62
0;022;4;0;1;0;0;0;0;0;0
0;022;4;1;95;26231;16.78;56.99;149.28;315.47;1103.31
0;022;4;2;29;333;1.75;3.5;4.2;7.35;86.45
0;022;4;3;14;555;1.4;1.4;5.42;85.37;127.4
0;022;4;4;56;1639;2.45;4.9;12.25;41.82;85.75
0;022;4;5;90;7620;4.55;27.79;43.14;80.01;365.05
0;022;4;6;23;212;1.73;3.46;8.4;13.16;22.4
0;022;4;7;92;2350;2.24;7.14;16.38;32.32;90.16
0;022;4;8;93;1886;1.82;4.27;10.89;21.42;78.89
0;022;4;9;49;430;1.4;3.85;5.6;11.2;22.4
0;023;1;0;229;0;0;0;0;0;0
0;023;1;1;324;3976;1.4;5.17;7.99;14.18;37.94
0;023;1;2;17;64;1.75;1.75;4.2;4.2;11.9
0;023;1;3;3;5;1.4;1.4;1.4;1.75;1.75
0;023;1;4;22;191;2.45;2.45;4.9;4.9;13.65
0;023;1;5;151;1160;0.7;2.8;3.43;8.05;26.39
0;023;1;6;67;348;1.75;1.75;3.5;7;10.85
0;023;1;7;321;743;0.84;1.4;1.68;2.45;5.32
0;023;1;8;292;657;0.56;1.26;1.82;2.31;4.27
0;023;1;9;111;510;1.05;2.8;3.5;5.6;9.27
0;023;2;0;38;0;0;0;0;0;0
0;023;2;1;265;6907;1.75;6.22;13.3;26.41;96.39
0;023;2;2;41;205;1.75;1.75;4.2;5.95;12.55
0;023;2;3;12;22;1.4;1.4;1.4;1.4;5.25
0;023;2;4;22;185;2.45;4.2;4.9;7;17.03
0;023;2;5;191;2426;1.4;3.08;6.93;14.28;35.56
0;023;2;6;68;511;1.75;2.55;7;9.31;20.51
0;023;2;7;254;1119;1.12;1.68;3.14;5.32;10.85
0;023;2;8;218;696;0.56;1.26;1.82;3.78;9.73
0;023;2;9;132;811;1.75;3.08;5.6;7.7;13.86
0;023;3;0;4;0;0;0;0;0;0
0;023;3;1;152;10877;3.92;20.38;48.04;83.09;230.36
0;023;3;2;48;320;1.75;2.63;4.2;6.65;19.6
0;023;3;3;16;335;1.4;1.4;1.4;9.27;167.92
