vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;316;4;135391.48;9025.16;10234.01;24402;57461.73;77562.32
0;317;1;11420812.2;941.14;1249.71;1548.81;2060.83;4144.92
0;317;2;3316260.84;1059.75;1607.05;2762.4;5951.86;16273.27
0;317;3;2291999.08;1345.75;4405.16;8698.09;18030.49;43070.62
0;317;4;800473.62;4478.04;11496.04;18599.91;25706.96;55984.94
0;320;1;12889911.59;902.92;1274.02;1674.83;2245.68;4680.94
0;320;2;8264231.36;969.53;1661.89;2849.22;6325.56;17538.35
0;320;3;4650163.98;1500.44;5371.14;10920.13;18378.41;35925.78
0;320;4;1501447.83;6058.9;17885.79;27049.14;45904.13;74499.85
0;321;1;26533611.49;2808.16;3709.99;4456.74;5322.63;7406.87
0;321;2;8728375.5;2922.34;4169.33;5378.09;7543.19;16073.98
0;321;3;3281180.64;4112.57;9117.5;16144.59;24896.67;53831.43
0;321;4;1746007.61;9693.43;23052.57;37366.09;52444.11;88936.31
0;340;1;1345921.32;672.8;1208.72;2290.6;4479.31;12633.93
0;340;2;4959182.91;759.8;2148.36;4959.8;9865.9;21843.08
0;340;3;3620800.72;1042.01;3969.42;8446.08;13853.43;30625.35
0;340;4;733578.68;1625.64;4522.12;9775.09;21424.16;37290.64
0;341;1;2808657.41;781.27;1807.32;3166.3;5557.88;13308.55
0;341;2;11438343.83;1110.35;2879.61;5753.86;10548.15;20964.78
0;341;3;18050654.88;2204.99;6016.35;10134.27;15775.83;27496.4
0;341;4;2641577.34;3234.89;9961.61;16118.88;22463.16;54783.58
0;342;1;8653617.2;683.64;936.96;1195.85;1627.96;4870.26
0;342;2;13264228.51;734.03;1471.33;3314.36;7624.91;19573.05
0;342;3;12357745.82;1649.09;5237.4;9356.29;15080.24;28595.82
0;342;4;2348336.32;2326.83;7547.43;14318.35;24807.03;41064.34
0;343;1;593043.05;1005.51;1643.22;2443.6;3858.72;9569.57
0;343;2;4215417.58;1140.88;2303.77;3951.34;6808.12;13720.01
0;343;3;12066686.62;2022.11;4473.02;8037.82;13373.95;28708.57
0;343;4;1871544.16;2529.79;8705.85;13688.68;20414.34;57490.58
0;344;1;1197292.59;1038.2;1855.79;3413.98;5770.89;10846.88
0;344;2;3880664.87;1333.92;3499.22;5341.86;8071.2;15639.57
0;344;3;4221612.03;2081.37;5590.86;8890.94;14342.19;30396.91
0;344;4;1097721.86;2233.96;9026.73;14162.79;22799.17;50304.56
0;346;1;4869562.57;777.24;1531.75;2563.8;4390.84;8741.02
0;346;2;6700530.81;1095.47;2314.2;3987.25;6760.39;13874.37
0;346;3;6189464.55;1761.14;3879.54;6973.91;11894.52;23989.32
0;346;4;2627216;2892.65;11220.95;17540.87;28470.12;66470.24
0;347;1;28351972.83;680.36;1199.75;1972.12;3217.8;7273.84
0;347;2;38228919.56;989.06;2437.12;4515.64;7927.11;15463.96
0;347;3;32755774.26;1964.64;5358.57;8815.65;13057.45;24875.41
0;347;4;5772204.35;3538.69;10220.35;16339.47;24656.77;46239.8
0;349;1;2041601.86;744.04;1160.09;1628.87;2422.79;5168.02
0;349;2;4194263.27;847.62;1541.74;2844.7;5541.59;16287.87
0;349;3;3121474.41;1365.5;4326.13;7969.88;14418.38;26157
0;349;4;605598.37;2315.92;4264.02;9568.43;23360.56;51340.18
0;351;1;11198186.22;647.22;1017.91;1686.37;2785.46;6397.48
0;351;2;24161000.26;813.92;2031.44;3807.27;6366.37;12803.19
0;351;3;22476738.93;1714.47;4673.73;7562.94;11557.1;22755.03
0;351;4;3210509.19;2631.2;7444.11;12486.52;19944.29;40675.52
0;361;1;7254541.29;1066.98;1594.93;2162.44;3264.8;8210.13
0;361;2;4074569.47;1189.04;2418.44;5245.16;10944.77;23942.39
0;361;3;5575568.29;2407.12;7656.53;16009.91;24151.26;49403.05
0;361;4;3046349.52;10606.35;20731.79;36461.12;63024.48;99551.22
0;362;1;20801808.72;2037.71;3119.77;4031.45;5304.5;8603.89
0;362;2;7993639.04;2577.26;3910.79;5025.15;6678.24;11296.77
0;362;3;1126013.37;3278.68;5348.01;7463.16;11842.25;22268.16
0;362;4;167651.01;6709.1;10360.04;15388.21;23080.13;29507.4
0;363;1;33946522.99;1192.73;2026.05;2616.68;3348.52;5001.43
0;363;2;5223016.17;1493.92;2665.43;4602.82;6444.25;9646.11
0;363;3;2039598.68;2886.21;5638.75;7264.18;9368.1;16177.54
0;363;4;42588.95;6862.06;7800.4;9097.16;13494.07;17532.56
0;364;1;16060268.83;976.48;1446.96;2036.67;2801.9;4382.57
0;364;2;7139081.44;1198.06;2354.52;3619.31;5842.41;13125.01
0;364;3;6943510.41;2207.34;4426.51;7973;14589.04;31916.72
0;364;4;2030861.31;3995.14;10905.58;20959.13;36399.56;71632.39
0;380;1;545264.91;698.1;1510.4;2653.81;5146.99;10075.2
0;380;2;4999587.87;946.44;2787.35;4707.75;7547.77;16681.6
0;380;3;11312147.74;1539.98;4440.71;7951.06;13368.48;27571.84
0;380;4;3546029.24;3092.03;7819.52;14149.78;22194.21;42483.83
0;381;1;1179659.18;731.97;1630.75;2439.25;3385.39;8559.64
0;381;2;2981461.04;1181.36;2400.69;3989.41;6644.39;13087.98
0;381;3;2966752.31;1450.32;4103.77;7231.9;12400.11;25677.87
0;381;4;948313.38;3009.24;5858.86;18599.57;26811.15;66314.71
0;382;1;267958.43;787.71;1255.04;1771.29;2826.67;7656.93
0;382;2;1856038.26;877.97;1853.83;3100.73;5680.83;14101.88
0;382;3;5174398.98;1546.99;3406.2;6328.66;10747.23;24241.54
0;382;4;892401.59;3277.89;6215.4;11111.66;18152.74;31214.26
0;383;1;11953522.31;735.17;1291.5;1950.44;2827.08;5383.72
0;383;2;16305026.04;1111.89;2243.92;3540.25;5422.72;10900.21
